"Question", "Anfragen"
"Question Form", "Anfrage Formular"
"There are some errors in your form.", "Bitte füllen Sie alle Pflichtfelder aus."
"Comment", "Kommentar"
"Send Question", "Absenden"
"Have you seen this article somewhere else?", "Haben Sie den Artikel woanders günstiger gesehen?"
"No problem. You can simply send us the following information:", "Kein Problem. Sie können uns einfach folgende Informationen zusenden:"
"Shop-Name", "Shop-Name"
"Shop-URL", "Shop-URL"
"Shop-Price", "Shop-Preis"
"required", "Pflichtfeld"
"Please enter your Name.", "Bitte geben Sie Ihren Name ein."
"Please enter your Email.", "Bitte geben Sie Ihre Email ein."
"Please enter the Shop-Name.", "Bitte geben Sie den Shop-Name ein."
"Please enter the Shop-URL.", "Bitte geben Sie die Shop-URL ein."
"We then check your counter offer. The easiest way to contact us is by using the question to product form (example button see below).", "Wir prüfen dann Ihr Gegenangebot. Am einfachsten kontaktieren Sie uns mit nebenstehenden Formular."
"Prerequisites for our price guarantee:", "Voraussetzungen:"
"The prerequisite is that the article in question is stocked in the shop in the desired size/color/execution. This is checked by us.", "Voraussetzung ist, dass der betreffende Artikel in der gewünschten Größe/Farbe/Ausführung lagernd ist. Dies wird von uns überprüft."
"The best price guarantee does not apply to private sales, auction platforms, bankruptcy sales and other non-regular sales channels.", "Dies gilt nicht für Privatverkäufe, Auktionsplattformen, Konkursabverkäufen und andere nicht reguläre Verkaufskanäle."
"The best price guarantee applies only to Germany.", "Gilt nur für Deutschland."
"We thank you for forwarding your inquiry. We would touch base at the earliest.", "Vielen Dank! Wir werden Ihre Anfrage schnellstmöglich bearbeiten."